asset_id	objective_id	input_contract	target_label	source_gate	baseline	primary_metric	parameter_cap	consumer	overlap_guard	status	authority
ICM-020	OBJ-ICM-020-THERMOCOUPLE-INTEGRITY	thermocouple_raw_fault_and_cross_sensor_features	TC_healthy_open_short_intermittent_class	FROZEN_EVIDENCE	frozen_TC_integrity_checkpoint	macro_F1_and_open_fault_recall	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_BASELINE_TC_HEALTH	FROZEN_BASELINE_CONTRACT	0
ICM-021	OBJ-ICM-021-FLAGSHIP-NLM-X1P9	bounded_edge_context_and_frozen_vocabulary	general_process_brief_tokens	FROZEN_EVIDENCE	frozen_x1p9_nanoLM	golden_prompt_exactness_and_token_NLL	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FLAGSHIP_FAMILY_MEMBER_NOT_A_SEED_COPY	FROZEN_BASELINE_CONTRACT	0
ICM-022	OBJ-ICM-022-FLAGSHIP-NLM-M1P35	bounded_edge_context_under_medium_memory_budget	general_process_brief_tokens	FROZEN_EVIDENCE	frozen_m1p35_nanoLM	golden_prompt_exactness_and_token_NLL	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FLAGSHIP_FAMILY_MEMBER_NOT_A_QUANTIZATION_RECOUNT	FROZEN_BASELINE_CONTRACT	0
ICM-023	OBJ-ICM-023-FLAGSHIP-NLM-S0P6	bounded_edge_context_under_small_memory_budget	compact_process_brief_tokens	FROZEN_EVIDENCE	frozen_s0p6_nanoLM	golden_prompt_exactness_and_token_NLL	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FLAGSHIP_FAMILY_MEMBER_NOT_A_SIZE_RECOUNT	FROZEN_BASELINE_CONTRACT	0
ICM-024	OBJ-ICM-024-FAULT-DIAGNOSIS-LM	fault_code_sensor_summary_and_frozen_evidence	bounded_fault_diagnosis_text	FROZEN_EVIDENCE	frozen_E1_fault_LM	grounded_claim_precision_and_refusal_F1	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_BASELINE_DIAGNOSIS_LM	FROZEN_BASELINE_CONTRACT	0
ICM-025	OBJ-ICM-025-RECIPE-ADVICE-LM	target_material_and_validated_recipe_neighbors	bounded_recipe_advice_text	FROZEN_EVIDENCE	frozen_E2_recipe_LM	constraint_satisfaction_and_citation_precision	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_BASELINE_RECIPE_LM	FROZEN_BASELINE_CONTRACT	0
ICM-026	OBJ-ICM-026-ENERGY-CARBON-LM	energy_CO2_model_output_and_recipe_context	energy_carbon_explanation_text	FROZEN_EVIDENCE	frozen_E3_energy_LM	numeric_consistency_and_claim_precision	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_BASELINE_ENERGY_LM	FROZEN_BASELINE_CONTRACT	0
ICM-027	OBJ-ICM-027-BATCH-QC-LM	batch_QC_metrics_and_alarm_evidence	batch_QC_summary_text	FROZEN_EVIDENCE	frozen_E4_QC_LM	evidence_coverage_and_hallucination_rate	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_BASELINE_QC_LM	FROZEN_BASELINE_CONTRACT	0
ICM-028	OBJ-ICM-028-OPERATOR-BRIEF-LM	current_state_alarm_and_next_safe_observation	operator_brief_text	FROZEN_EVIDENCE	frozen_E5_brief_LM	critical_fact_recall_and_unsupported_claim_rate	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_BASELINE_OPERATOR_LM	FROZEN_BASELINE_CONTRACT	0
ICM-029	OBJ-ICM-029-FORMULA-CHEMISTRY-LM	formula_composition_and_frozen_chemistry_facts	formula_chemistry_explanation_text	FROZEN_EVIDENCE	frozen_E6_chemistry_LM	formula_exactness_and_grounded_claim_F1	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_BASELINE_CHEMISTRY_LM	FROZEN_BASELINE_CONTRACT	0
ICM-030	OBJ-ICM-030-MAINTENANCE-LM	equipment_health_codes_and_maintenance_evidence	maintenance_action_brief_text	FROZEN_EVIDENCE	frozen_E7_maintenance_LM	fault_action_accuracy_and_refusal_F1	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_BASELINE_MAINTENANCE_LM	FROZEN_BASELINE_CONTRACT	0
ICM-031	OBJ-ICM-031-EMISSIVITY-CORRECTION	MLX90640_raw_frame_MAX31856_reference_SHT30_ambient	scene_emissivity_coefficient_and_corrected_surface_temperature	L0_L1	fixed_emissivity_0p95	corrected_temperature_MAE_C_and_emissivity_MAE	params_le_40k_INT8_weights_le_48KiB	THERMAL_UI_SINTERGRAPH	CALIBRATES_THERMAL_INPUT_NOT_AI14_FORECAST	PLAN_ONLY_PRE_FREEZE	0
ICM-032	OBJ-ICM-032-THERMAL-RESTORATION	bad_pixel_mask_raw_thermal_frame_and_temporal_neighbors	restored_32x24_temperature_field	L0_L1	median_fill_plus_bilateral_filter	temperature_RMSE_C_SSIM_and_hotspot_recall	params_le_55k_INT8_weights_le_64KiB	THERMAL_UI_SINTERGRAPH	RESTORES_SENSOR_FRAME_NOT_AI14_SCALAR_PREDICTION	PLAN_ONLY_PRE_FREEZE	0
ICM-033	OBJ-ICM-033-THERMAL-UNIFORMITY-SEGMENTATION	calibrated_thermal_frame_and_crucible_mask	pixelwise_cold_nominal_hot_uniformity_mask	L0_L1	center_ring_delta_threshold	class_mIoU_and_hot_region_recall	params_le_70k_INT8_weights_le_80KiB	THERMAL_UI_SINTERGRAPH	SPATIAL_SEGMENTATION_NOT_AI14_OR_AI7	PLAN_ONLY_PRE_FREEZE	0
ICM-034	OBJ-ICM-034-THERMAL-FIELD-FORECAST	five_calibrated_thermal_frames_heater_state_and_airflow	full_32x24_temperature_field_at_t_plus_5s	L0_L1	pixelwise_persistence	field_RMSE_C_hotspot_IoU_and_endpoint_error_px	params_le_80k_INT8_weights_le_96KiB	THERMAL_UI_SINTERGRAPH	FULL_FIELD_5S_FORECAST_NOT_AI14_SCALAR_HORIZON	PLAN_ONLY_PRE_FREEZE	0
ICM-035	OBJ-ICM-035-PIXEL-DRIFT-MAP	dark_reference_uniform_scene_and_pixel_history	per_pixel_offset_drift_map_C	L0_L1	single_global_offset	drift_RMSE_C_and_bad_pixel_AUROC	params_le_32k_INT8_weights_le_40KiB	THERMAL_UI_SINTERGRAPH	SENSOR_CALIBRATION_NOT_PROCESS_TEMPERATURE_FORECAST	PLAN_ONLY_PRE_FREEZE	0
ICM-036	OBJ-ICM-036-THERMAL-FOV-HEALTH	thermal_frame_statistics_valid_pixel_mask_and_frame_age	FOV_health_clean_occluded_saturated_stale	L0_L1	fixed_valid_pixel_and_range_rules	macro_F1_stale_recall_and_ECE	params_le_24k_INT8_weights_le_32KiB	THERMAL_UI_SINTERGRAPH	INPUT_HEALTH_GATE_NOT_THERMAL_PROCESS_MODEL	PLAN_ONLY_PRE_FREEZE	0
ICM-037	OBJ-ICM-037-INSULATION-LEAK-SEGMENTATION	thermal_shell_frame_ambient_and_geometry_mask	insulation_heat_leak_pixel_mask_and_severity	L0_L1	ambient_plus_fixed_delta_threshold	mIoU_event_AUPRC_and_severity_MAE	params_le_64k_INT8_weights_le_72KiB	THERMAL_UI_SINTERGRAPH	SHELL_LEAK_LOCALIZATION_NOT_AI14_FORECAST	PLAN_ONLY_PRE_FREEZE	0
ICM-038	OBJ-ICM-038-INVERSE-HEAT-FLUX	surface_temperature_sequence_material_properties_and_geometry	spatial_heat_flux_W_per_m2_map	L0_L1	one_dimensional_Fourier_conduction	normalized_RMSE_and_flux_correlation	params_le_72k_INT8_weights_le_88KiB	THERMAL_UI_SINTERGRAPH	PHYSICS_INVERSE_TARGET_NOT_TEMPERATURE_OUTPUT	PLAN_ONLY_PRE_FREEZE	0
ICM-039	OBJ-ICM-039-HEATER-COUPLING-MAP	heater_command_current_and_thermal_response_sequence	per_zone_heater_to_surface_gain_map	L0_L1	uniform_scalar_gain	gain_RMSE_and_rank_correlation	params_le_56k_INT8_weights_le_64KiB	THERMAL_UI_SINTERGRAPH	IDENTIFIES_ACTUATOR_COUPLING_NOT_AI14	PLAN_ONLY_PRE_FREEZE	0
ICM-040	OBJ-ICM-040-HOTSPOT-TRAJECTORY	thermal_hotspot_centroids_over_five_frames_and_actuator_state	hotspot_xy_path_for_next_3s	L0_L1	constant_velocity_centroid	trajectory_ADE_px_and_FDE_px	params_le_36k_INT8_weights_le_48KiB	THERMAL_UI_SINTERGRAPH	SPATIAL_MOTION_TARGET_NOT_AI14_SCALAR	PLAN_ONLY_PRE_FREEZE	0
ICM-041	OBJ-ICM-041-RGBT-REGISTRATION	synchronized_OV5640_RGB_MLX90640_frames_and_calibration_targets	RGB_to_thermal_homography_parameters	L0_L1	identity_transform	corner_reprojection_MAE_px_and_registration_IoU	params_le_45k_INT8_weights_le_56KiB	THERMAL_UI_SINTERGRAPH	CROSS_MODAL_ALIGNMENT_NOT_OBJECT_CLASSIFICATION	PLAN_ONLY_PRE_FREEZE	0
ICM-042	OBJ-ICM-042-CRUCIBLE-FILL-RATIO	RGB_frame_crucible_mask_and_depth_free_geometry_features	powder_fill_ratio_percent	L0_L1	mask_area_geometric_ratio	fill_ratio_MAE_percentage_points	params_le_38k_INT8_weights_le_48KiB	THERMAL_UI_SINTERGRAPH	CONTINUOUS_FILL_ESTIMATE_NOT_AI1_STATE_CLASS	PLAN_ONLY_PRE_FREEZE	0
ICM-043	OBJ-ICM-043-POWDER-UNIFORMITY	powder_ROI_texture_color_and_thermal_statistics	powder_surface_uniformity_score_0_to_1	L0_L1	local_variance_index	Spearman_rho_and_score_MAE	params_le_42k_INT8_weights_le_52KiB	THERMAL_UI_SINTERGRAPH	SURFACE_UNIFORMITY_NOT_THERMAL_UNIFORMITY_MASK	PLAN_ONLY_PRE_FREEZE	0
ICM-044	OBJ-ICM-044-CONTAMINATION-SPOT-SEGMENTATION	RGB_powder_ROI_with_labeled_foreign_spots	contamination_pixel_mask	L0_L1	HSV_outlier_threshold	mIoU_spot_recall_and_false_spots_per_frame	params_le_64k_INT8_weights_le_72KiB	THERMAL_UI_SINTERGRAPH	CONTAMINATION_MASK_NOT_AI1_CRUCIBLE_STATE	PLAN_ONLY_PRE_FREEZE	0
ICM-045	OBJ-ICM-045-SURFACE-CRUST-CRACK	RGB_surface_ROI_and_edge_context	crust_crack_pixel_mask_and_length	L0_L1	Canny_plus_morphology	mIoU_crack_F1_and_length_MAE_px	params_le_68k_INT8_weights_le_80KiB	THERMAL_UI_SINTERGRAPH	CRACK_GEOMETRY_NOT_MACRO_QUALITY_GRADE	PLAN_ONLY_PRE_FREEZE	0
ICM-046	OBJ-ICM-046-FUME-PLUME-SEGMENTATION	RGB_temporal_frames_background_model_and_gas_context	fume_plume_mask_and_area_fraction	L0_L1	frame_difference_threshold	mIoU_plume_event_F1_and_area_MAE	params_le_72k_INT8_weights_le_84KiB	THERMAL_UI_SINTERGRAPH	VISIBLE_PLUME_TASK_NOT_MQ_GAS_REGRESSION	PLAN_ONLY_PRE_FREEZE	0
ICM-047	OBJ-ICM-047-CAMERA-OPTICS-HEALTH	RGB_frame_sharpness_contrast_glare_and_temporal_features	optics_state_clean_fogged_occluded_glare	L0_L1	fixed_sharpness_and_saturation_thresholds	macro_F1_and_clean_false_alarm_rate	params_le_28k_INT8_weights_le_36KiB	THERMAL_UI_SINTERGRAPH	CAMERA_HEALTH_GATE_NOT_SCENE_CLASSIFIER	PLAN_ONLY_PRE_FREEZE	0
ICM-048	OBJ-ICM-048-CRUCIBLE-RIM-INTEGRITY	RGB_rim_ROI_contour_and_temporal_consensus	rim_state_intact_chip_crack_occluded	L0_L1	ellipse_continuity_rule	macro_F1_and_damage_recall	params_le_52k_INT8_weights_le_64KiB	THERMAL_UI_SINTERGRAPH	RIM_DAMAGE_TASK_NOT_AI1_LOAD_STATE	PLAN_ONLY_PRE_FREEZE	0
ICM-049	OBJ-ICM-049-MACRO-SURFACE-QUALITY	RGB_surface_texture_color_crack_and_contamination_features	ordered_surface_quality_grade_A_to_D	L0_L1	LBP_plus_linear_classifier	quadratic_kappa_macro_F1_and_grade_MAE	params_le_44k_INT8_weights_le_56KiB	THERMAL_UI_SINTERGRAPH	ORDINAL_QUALITY_NOT_INDIVIDUAL_DEFECT_SEGMENTERS	PLAN_ONLY_PRE_FREEZE	0
ICM-050	OBJ-ICM-050-THERMAL-TARGET-AUTHENTICITY	RGB_thermal_temporal_parallax_frame_age_and_sensor_status	target_state_live_physical_stale_frame_reflection_screen_replay	L0_L1	entropy_and_frame_age_rules	macro_F1_replay_recall_and_live_false_reject_rate	params_le_48k_INT8_weights_le_60KiB	THERMAL_UI_SINTERGRAPH	EVIDENCE_AUTHENTICITY_GATE_NOT_TEMPERATURE_ESTIMATION	PLAN_ONLY_PRE_FREEZE	0
ICM-051	OBJ-ICM-051-DOOR-SEAL-LEAK	door_perimeter_thermal_sequence_ambient_and_fan_state	seal_leak_segment_and_severity	L0_L1	perimeter_temperature_delta_threshold	event_AUPRC_mIoU_and_severity_MAE	params_le_58k_INT8_weights_le_68KiB	THERMAL_UI_SINTERGRAPH	DOOR_PERIMETER_LEAK_NOT_INSULATION_BODY_LEAK	PLAN_ONLY_PRE_FREEZE	0
ICM-052	OBJ-ICM-052-CRUCIBLE-WARP	RGB_rim_contour_calibration_scale_and_view_pose	rim_warp_deviation_mm_and_direction	L0_L1	best_fit_ellipse_residual	warp_MAE_mm_and_direction_accuracy	params_le_40k_INT8_weights_le_48KiB	THERMAL_UI_SINTERGRAPH	GEOMETRIC_WARP_NOT_RIM_DAMAGE_CLASS	PLAN_ONLY_PRE_FREEZE	0
ICM-053	OBJ-ICM-053-TC-CONTACT-PLACEMENT	MAX31856_TC_CJ_SHT30_and_thermal_ROI_sequences	contact_state_valid_loose_misaligned_detached	L0_L1	fixed_TC_to_surface_disagreement_rule	macro_F1_detached_recall_and_ECE	params_le_28k_INT8_weights_le_36KiB	DEVICE_EVIDENCE_MAINTENANCE	CONTACT_PLACEMENT_NOT_AI20_ELECTRICAL_INTEGRITY	PLAN_ONLY_PRE_FREEZE	0
ICM-054	OBJ-ICM-054-MAX56-BIAS-COMPENSATION	MAX31856_TC_CJ_fault_bits_reference_bath_and_ambient	temperature_bias_correction_C	L0_L1	zero_bias_correction	corrected_temperature_MAE_C_and_p95_error	params_le_24k_INT8_weights_le_32KiB	DEVICE_EVIDENCE_MAINTENANCE	CALIBRATION_RESIDUAL_NOT_AI14_FORECAST_OR_AI20_FAULT	PLAN_ONLY_PRE_FREEZE	0
ICM-055	OBJ-ICM-055-SHT-CONDENSATION-STATE	SHT30_temperature_RH_dewpoint_trend_and_surface_reference	dry_condensation_risk_condensed_state	L0_L1	dewpoint_margin_threshold	macro_F1_condensed_recall_and_warning_lead_time_s	params_le_18k_INT8_weights_le_24KiB	DEVICE_EVIDENCE_MAINTENANCE	HUMIDITY_SENSOR_STATE_NOT_GAS_OR_FURNACE_TEMP	PLAN_ONLY_PRE_FREEZE	0
ICM-056	OBJ-ICM-056-MQ-TH-COMPENSATION	MQ135_raw_SHT30_temperature_RH_and_warmup_age	temperature_humidity_compensated_gas_response	L0_L1	uncompensated_MQ_raw_value	normalized_MAE_and_cross_condition_R2	params_le_20k_INT8_weights_le_28KiB	DEVICE_EVIDENCE_MAINTENANCE	COMPENSATES_SENSOR_SIGNAL_NOT_GAS_EVENT_CLASS	PLAN_ONLY_PRE_FREEZE	0
ICM-057	OBJ-ICM-057-MQ-READINESS	MQ135_warmup_curve_temperature_supply_and_derivative	ready_unstable_fault_state_and_time_to_ready	L0_L1	fixed_180s_warmup_timer	macro_F1_and_time_to_ready_MAE_s	params_le_16k_INT8_weights_le_24KiB	DEVICE_EVIDENCE_MAINTENANCE	SENSOR_READINESS_GATE_NOT_GAS_CONCENTRATION	PLAN_ONLY_PRE_FREEZE	0
ICM-058	OBJ-ICM-058-ADXL-SIGNAL-QUALITY	ADXL345_raw_axes_range_spectrum_and_interrupt_status	signal_state_clean_clipped_EMI_stuck_disconnected	L0_L1	range_RMS_and_zero_variance_rules	macro_F1_EMI_recall_and_false_gate_rate	params_le_24k_INT8_weights_le_32KiB	DEVICE_EVIDENCE_MAINTENANCE	SIGNAL_QUALITY_GATE_NOT_AI10_MOTOR_STATE	PLAN_ONLY_PRE_FREEZE	0
ICM-059	OBJ-ICM-059-INA-TEMP-DRIFT-COMP	INA226_shunt_bus_temperature_and_zero_load_history	temperature_compensated_current_mA	L0_L1	uncompensated_INA_reading	current_MAE_mA_and_zero_offset_p95	params_le_18k_INT8_weights_le_24KiB	DEVICE_EVIDENCE_MAINTENANCE	CURRENT_CALIBRATION_NOT_POWER_EVENT_DETECTION	PLAN_ONLY_PRE_FREEZE	0
ICM-060	OBJ-ICM-060-POWER-RAIL-EVENT	INA226_bus_shunt_current_sequence_and_GPIO_commands	event_none_sag_surge_inrush_dropout_with_onset	L0_L1	fixed_voltage_current_thresholds	event_macro_F1_and_onset_MAE_ms	params_le_30k_INT8_weights_le_40KiB	DEVICE_EVIDENCE_MAINTENANCE	TRANSIENT_EVENT_TASK_NOT_ENERGY_ACCOUNTING_AI8	PLAN_ONLY_PRE_FREEZE	0
ICM-061	OBJ-ICM-061-PTC-THERMAL-EFFICIENCY	PTC_voltage_current_thermal_response_and_ambient	thermal_gain_C_per_W_and_efficiency_percent	L0_L1	rated_power_static_gain	efficiency_MAPE_and_gain_MAE	params_le_26k_INT8_weights_le_36KiB	DEVICE_EVIDENCE_MAINTENANCE	ACTUATOR_EFFICIENCY_NOT_PROCESS_CONTROL_AUTHORITY	PLAN_ONLY_PRE_FREEZE	0
ICM-062	OBJ-ICM-062-PTC-DEGRADATION	PTC_cycle_count_resistance_efficiency_and_heatup_history	health_index_and_remaining_cycles	L0_L1	no_degradation_constant_health	health_MAE_and_RUL_concordance_index	params_le_30k_INT8_weights_le_40KiB	DEVICE_EVIDENCE_MAINTENANCE	LONG_TERM_DEGRADATION_NOT_INSTANT_EFFICIENCY	PLAN_ONLY_PRE_FREEZE	0
ICM-063	OBJ-ICM-063-RELAY-CONTACT-HEALTH	relay_command_INA_current_voltage_and_switch_transient	normal_bounce_high_resistance_welded_open_state	L0_L1	current_present_absent_threshold	macro_F1_welded_recall_and_switch_delay_MAE_ms	params_le_24k_INT8_weights_le_32KiB	DEVICE_EVIDENCE_MAINTENANCE	RELAY_CONTACT_TASK_NOT_GENERIC_POWER_EVENT	PLAN_ONLY_PRE_FREEZE	0
ICM-064	OBJ-ICM-064-MOSFET-CONDUCTION-HEALTH	MOSFET_gate_command_bus_current_voltage_temperature_and_off_leak	Rds_proxy_and_normal_open_short_leaky_state	L0_L1	fixed_Rds_and_leak_thresholds	Rds_MAPE_macro_F1_and_short_recall	params_le_24k_INT8_weights_le_32KiB	DEVICE_EVIDENCE_MAINTENANCE	MOSFET_DEVICE_HEALTH_NOT_PTC_LOAD_HEALTH	PLAN_ONLY_PRE_FREEZE	0
ICM-065	OBJ-ICM-065-FAN-EFFICIENCY	fan_voltage_current_tach_thermal_decay_and_command	cooling_gain_per_watt	L0_L1	fixed_nominal_RPM_per_watt_map	cooling_gain_MAPE_and_efficiency_rank_correlation	params_le_28k_INT8_weights_le_36KiB	DEVICE_EVIDENCE_MAINTENANCE	FAN_EFFICIENCY_NOT_FAN_BEARING_OR_BLOCKAGE	PLAN_ONLY_PRE_FREEZE	0
ICM-066	OBJ-ICM-066-FAN-BEARING-FAULT	ADXL_spectrum_tach_jitter_current_and_fan_command	bearing_state_healthy_imbalance_wear_rub	L0_L1	vibration_RMS_threshold	macro_F1_wear_recall_and_ECE	params_le_36k_INT8_weights_le_48KiB	DEVICE_EVIDENCE_MAINTENANCE	MULTISENSOR_FAN_BEARING_NOT_AI10_RUNNING_STOPPED	PLAN_ONLY_PRE_FREEZE	0
ICM-067	OBJ-ICM-067-FAN-BLOCKAGE	fan_tach_current_thermal_decay_and_command	blockage_severity_none_partial_full	L0_L1	tach_only_threshold	macro_F1_and_severity_MAE	params_le_30k_INT8_weights_le_40KiB	DEVICE_EVIDENCE_MAINTENANCE	AIRFLOW_BLOCKAGE_NOT_BEARING_SPECTRAL_FAULT	PLAN_ONLY_PRE_FREEZE	0
